name,state,city,address,latitude,longitude,type,station_id,type_label
Eesl Prithviraj Market,Delhi,New Delhi,"NDMC Parking, Prithviraj Market, Prithviraj Ln, New Delhi - 110003",28.600735,77.226277,8,eesl prithviraj market_28.60074_77.22628,Public_AC
Eesl Hotel Claridges,Delhi,New Delhi,"NDMC Parking, Side of Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi -110011",28.599477,77.215583,8,eesl hotel claridges_28.59948_77.21558,Public_AC
Eesl Hotel Claridges,Delhi,New Delhi,"NDMC Parking, Side of Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi -110011",28.601201,77.215975,8,eesl hotel claridges_28.6012_77.21598,Public_AC
Eesl Talkatora Stadium,Delhi,New Delhi,"Talkatora stadium Presidents Estate, New Delhi - 110004",28.62576517,77.19489108,8,eesl talkatora stadium_28.62577_77.19489,Public_AC
Eesl Talkatora Garden,Delhi,New Delhi,"Rashtrapati Bhawan, President's Estate, New Delhi, Delhi 110004",28.62394449,77.19509853,8,eesl talkatora garden_28.62394_77.1951,Public_AC
Eesl Press Club,Delhi,New Delhi,"1, Raisina Road, Near Central Secretariat Metro, Windsor Place, New Delhi, Delhi 110001",28.61743816,77.21362374,8,eesl press club_28.61744_77.21362,Public_AC
Eesl Chelmsford Club,Delhi,New Delhi,"Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi, Delhi 110001",28.61919904,77.21252935,8,eesl chelmsford club_28.6192_77.21253,Public_AC
Eesl Akashwani Bhawan,Delhi,New Delhi,"Sansad Marg, Pandit Pant Marg Area, Sansad Marg Area, New Delhi, Delhi 110001",28.62237102,77.21148694,8,eesl akashwani bhawan_28.62237_77.21149,Public_AC
Eesl Sansad Marg,Delhi,New Delhi,"NDMC Parking, Outside Standard Chartered Bank, Sardar Patel Bhawan, Sansad Marg, New Delhi - 110001",28.62463712,77.21405159,8,eesl sansad marg_28.62464_77.21405,Public_AC
Eesl Bharat Sanchar Bhawan,Delhi,New Delhi,"Outside Bharat Sanchar Bhawan, Ashoke Road, Janpath, New Delhi - 110001",28.62433889,77.21983712,8,eesl bharat sanchar bhawan_28.62434_77.21984,Public_AC
Eesl Fab India,Delhi,New Delhi,"62, Janpath Rd, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001",28.62772522,77.21977647,8,eesl fab india_28.62773_77.21978,Public_AC
Eesl Icici Bank Janpath,Delhi,New Delhi,"No 82, Janpath Rd, Janpath, Connaught Place, New Delhi, Delhi 110001",28.62891677,77.21975289,8,eesl icici bank janpath_28.62892_77.21975,Public_AC
Eesl Ficci Chowk,Delhi,New Delhi,"FICCI Chowk, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",28.62703859,77.23189591,8,eesl ficci chowk_28.62704_77.2319,Public_AC
Eesl Jain Bhawan,Delhi,New Delhi,"Jain Bhawan, 12, Shaheed Bhagat Singh Marg, Gole Market, New Delhi, Delhi 110001",28.6340764,77.20743317,8,eesl jain bhawan_28.63408_77.20743,Public_AC
Eesl Barakhamba,Delhi,New Delhi,"Fire Brigade Lane, Barakhamba, New Delhi, Delhi 110001",28.62981766,77.22595347,8,eesl barakhamba_28.62982_77.22595,Public_AC
